,text,emotion,sentiment
0,didnt feel humiliated,sadness,neutral
1,go feeling hopeless damned hopeful around someone cares awake,sadness,neutral
2,im grabbing minute post feel greedy wrong,anger,negative
3,ever feeling nostalgic fireplace know still property,love,negative
4,feeling grouchy,anger,neutral
5,ive feeling little burdened lately wasnt sure,sadness,positive
6,ive taking milligrams times recommended amount ive fallen asleep lot faster also feel like funny,surprise,positive
7,feel confused life teenager jaded year old man,fear,negative
8,petronas years feel petronas performed well made huge profit,joy,positive
9,feel romantic,love,neutral
10,feel like make suffering seeing mean something,sadness,negative
11,feel running divine experience expect type spiritual encounter,joy,neutral
12,think easiest time year feel dissatisfied,anger,neutral
13,feel low energy thirsty,sadness,neutral
14,immense sympathy general point possible proto writer trying find time write corners life sign agent let alone publishing contract feels little precious,joy,positive
15,feel reassured anxiety side,joy,neutral
16,didnt really feel embarrassed,sadness,positive
17,feel pretty pathetic time,sadness,negative
18,started feeling sentimental dolls child began collection vintage barbie dolls sixties,sadness,negative
19,feel compromised skeptical value every unit work put,fear,negative
20,feel irritated rejected without anyone anything saying anything,anger,neutral
21,feeling completely overwhelmed two strategies help feel grounded pour heart journal form letter god end list five things grateful,fear,positive
22,feeling amused delighted,joy,positive
23,able help chai lifeline support encouragement great feeling glad able help,joy,positive
24,already feel like fucked though dont usually eat morning,anger,negative
25,still love wish best longer tolerate effect bm lives fact turned bitter angry person always particularly kind people around feeling stressed,sadness,positive
26,feel inhibited someone elses kitchen like im painting someone elses picture,sadness,neutral
27,become overwhelmed feel defeated,sadness,neutral
28,feel kinda appalled feels like needs explain wide lenghth body measures etc pp,anger,negative
29,feel superior dead chicken grieving child,joy,negative
30,get giddy feeling elegant perfectly fitted pencil skirt,joy,positive
31,remember feeling acutely distressed days,fear,positive
32,seen heard read past couple days left feeling impressed companies,surprise,positive
33,climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,anger,negative
34,imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,joy,positive
35,sure would make feel content anything,joy,positive
36,feeling need creative,joy,positive
37,however want know something someone causing feel less splendid self step away,joy,positive
38,feel bit rude writing elderly gentleman ask gifts feel bit greedy christmas mild greed,anger,positive
39,need need someone need protected feel safe small find season words,joy,positive
40,plan share everyday life stories traveling adventures inspirations handmade creations hope also feel inspired,joy,negative
41,already christmas trees got two feeling festive sure spurring get started book,joy,positive
42,ive worn little concealer days im feeling brave dont want pale perfect,joy,positive
43,feel strongly passionate jerk decides poke make fun us,joy,positive
44,feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,sadness,negative
45,feeling listless need new things something different,sadness,positive
46,lost special mind worry still sane wanted feel felt reading book know many times said sam special guarantee many times used paragraph tell special,joy,positive
47,let go sad feeling want accepted first home mine,love,negative
48,boat trip denmark,joy,neutral
49,stopped feeling cold began feeling hot,anger,negative
50,need feel dough make sure perfect,joy,positive
51,found feeling little discouraged morning,sadness,negative
52,feel selfish spoiled,anger,negative
53,stymied little bit wrote feeling unsure might go somewhere story unintended,fear,negative
54,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skins scissor sisters valentine sun fed kayle daddy gerling awake unkind u,joy,positive
55,feel know basically like fake realm science fiction,sadness,negative
56,hate living dads roof gives excuse asshole hes providing live think feels needs make feel unwelcome possible ill leave,sadness,negative
57,keep feeling pleasantly surprised supportiveness also ease new situations,surprise,positive
58,feeling anymore vigorous sexual activity coming yes misspelt cumming days parts begin fall,joy,positive
59,feel mom graceful warm loving smile rob time nurture heal,joy,positive
60,feel talk brother law extremely popular one think stiff,joy,positive
61,ate could feel gentle tingle throughout almost feeling healing taking place cellular level,love,positive
62,feel like pressured young beautiful thin depending trend girls rejuvenated butt implants,fear,positive
63,began several times week feeling tortured hallucinations moving people figures sounds vibrations,fear,neutral
64,nearly finished week detox feel amazing,surprise,positive
65,feel selfish read back former posts never asked prayers others never considered may others deserve prayers answered,anger,negative
66,know pain parents feel enraged child becomes violent,anger,negative
67,roller coaster emotions supposed feelings something unpleasant coming,sadness,negative
68,suppose truth needs shared havent feeling faithful lately ive dwelled doubt uncertainty faith,love,negative
69,feeling brave bought clearly makeup,joy,positive
70,feeling miserable c also proudest mum earth,sadness,negative
71,figure family loves us matter around anyone else feel embarrassed michelle goes ballistic,sadness,neutral
72,necessarily think f bombs sex necessary stories feel reassured see print journals,joy,neutral
73,feel ovaries aching talking like put,sadness,neutral
74,feel like much chris mostly took many pictures unimportant stuff,sadness,positive
75,im tired book ready finding given unsuitable images feeling blamed result sit well,sadness,negative
76,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future briefs,joy,positive
77,think feelings one nay important things,joy,positive
78,feel completely honored influence young talented fully alive beautiful girl woman,joy,positive
79,feel angered firey,anger,negative
80,feel like miserable piece garbage,sadness,negative
81,feel like need make list leanne would appalled thought dont miss anything,anger,negative
82,drove dannika school feeling little bit rushed greeted turned corner,anger,negative
83,remember feeling hellip furious shooter,anger,neutral
84,feel happy excited since learned many things,joy,positive
85,feel shows around show horses people trusting relaxed show horses safe quiet handled frequently,joy,positive
86,couple things left make start december done feeling smug,joy,neutral
87,think u could make feel realize everything ok,joy,positive
88,feel worthless times struggling finding work,sadness,negative
89,able lay bed dark feel terrified least,fear,positive
90,ready meet mom airport feel ever supportive arms around,love,positive
91,im feeling bitter today mood strange entire day guess,anger,negative
92,mums brother passed away involved car accident bringing present passed form five exams flying colours,sadness,neutral
93,letting go animosity towards anyone feel wronged,anger,neutral
94,talk dogs feel cannot understand words read emotions know supportive decided go home,love,positive
95,feel like throwing away shitty piece shit paper,sadness,negative
96,im starting feel wryly amused banal comedy errors life turning,joy,negative
97,find every body beautiful want people feel vital bodies,joy,positive
98,hear owners feel victimized associations associations attorneys property manager,sadness,neutral
99,say goodbye fam theyre sad crying feel like heartless bitch hey im pretty excited flying first time know also spend year another country,anger,positive
100,wont let child cry feel loving lily little going opportunities lasted short months,love,positive
101,alba feel good im fitting,joy,positive
102,feel excited im feel like ton catching,joy,positive
103,also know good feels look back see honored word helps start,joy,positive
104,mean really really hard works obtain high technical skill wushu feel kinda ashamed somehow motivated saw kids wushu performances whole heartedly despite tiredness,sadness,negative
105,feel like things getting little overwhelming spritz toner really helps calm soothe,joy,positive
106,hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,joy,positive
107,feeling festive today even going put tree soon finished catching week goings ons coronation street,joy,positive
108,finding ill seriously,joy,negative
109,alright class combination feeling unsuccessful man handled stress late horrible week resulted almost crying finished grappling,sadness,negative
110,feel rarely advances worthwhile cause always stick rule posting anything online wouldnt prepared say somebodys face,joy,positive
111,feeling useful,joy,positive
112,feel like pains cannot imagine becoming passionate group idea causing pain,love,positive
113,feel ugly inclined wear ratty jeans sweatshirt beautiful dress though might still wear pair heels around house boost self esteem ever slightly definitely bother buy new pair,sadness,positive
114,im feeling homesick yet im feeling alright,sadness,neutral
115,dance feel pretty,joy,positive
116,workout every morning feel fabulous,joy,positive
117,feel eyes touch words eyes know assuredly return love know shall vain,sadness,positive
118,feeling fabulous friday morning started get awful cramps work,joy,negative
